Region,Coordinates,Area (in),Aspect Ratio,Centroid,X Coordinate,Y Coordinate,Width (in),Height (in)
1,"(142, 115, 189, 206)",0.8250385802469136,0.5164835164835165,"(165.5, 160.5)",142,115,0.6527777777777778,1.2638888888888888
2,"(169, 257, 192, 304)",0.20852623456790123,0.48936170212765956,"(180.5, 280.5)",169,257,0.3194444444444444,0.6527777777777778
3,"(164, 224, 197, 257)",0.21006944444444442,1.0,"(180.5, 240.5)",164,224,0.4583333333333333,0.4583333333333333
4,"(134, 284, 167, 317)",0.21006944444444442,1.0,"(150.5, 300.5)",134,284,0.4583333333333333,0.4583333333333333
5,"(209, 4, 242, 37)",0.21006944444444442,1.0,"(225.5, 20.5)",209,4,0.4583333333333333,0.4583333333333333
6,"(224, 184, 257, 217)",0.21006944444444442,1.0,"(240.5, 200.5)",224,184,0.4583333333333333,0.4583333333333333
7,"(224, 144, 257, 177)",0.21006944444444442,1.0,"(240.5, 160.5)",224,144,0.4583333333333333,0.4583333333333333
8,"(247, 9, 294, 32)",0.20852623456790123,2.0434782608695654,"(270.5, 20.5)",247,9,0.6527777777777778,0.3194444444444444
9,"(219, 53, 292, 68)",0.21122685185185183,4.866666666666666,"(255.5, 60.5)",219,53,1.0138888888888888,0.20833333333333331
10,"(224, 224, 257, 257)",0.21006944444444442,1.0,"(240.5, 240.5)",224,224,0.4583333333333333,0.4583333333333333
11,"(219, 113, 292, 128)",0.21122685185185183,4.866666666666666,"(255.5, 120.5)",219,113,1.0138888888888888,0.20833333333333331
12,"(219, 293, 292, 308)",0.21122685185185183,4.866666666666666,"(255.5, 300.5)",219,293,1.0138888888888888,0.20833333333333331
13,"(219, 93, 292, 108)",0.21122685185185183,4.866666666666666,"(255.5, 100.5)",219,93,1.0138888888888888,0.20833333333333331
14,"(219, 273, 292, 288)",0.21122685185185183,4.866666666666666,"(255.5, 280.5)",219,273,1.0138888888888888,0.20833333333333331
15,"(219, 73, 292, 88)",0.21122685185185183,4.866666666666666,"(255.5, 80.5)",219,73,1.0138888888888888,0.20833333333333331
16,"(242, 331, 299, 350)",0.20891203703703703,3.0,"(270.5, 340.5)",242,331,0.7916666666666666,0.2638888888888889
17,"(242, 371, 299, 390)",0.20891203703703703,3.0,"(270.5, 380.5)",242,371,0.7916666666666666,0.2638888888888889
18,"(274, 157, 297, 204)",0.20852623456790123,0.48936170212765956,"(285.5, 180.5)",274,157,0.3194444444444444,0.6527777777777778
19,"(7, 369, 54, 392)",0.20852623456790123,2.0434782608695654,"(30.5, 380.5)",7,369,0.6527777777777778,0.3194444444444444
20,"(274, 217, 297, 264)",0.20852623456790123,0.48936170212765956,"(285.5, 240.5)",274,217,0.3194444444444444,0.6527777777777778
21,"(174, 315, 277, 326)",0.21855709876543208,9.363636363636363,"(225.5, 320.5)",174,315,1.4305555555555556,0.15277777777777776
22,"(209, 364, 242, 397)",0.21006944444444442,1.0,"(225.5, 380.5)",209,364,0.4583333333333333,0.4583333333333333
23,"(242, 31, 299, 50)",0.20891203703703703,3.0,"(270.5, 40.5)",242,31,0.7916666666666666,0.2638888888888889
24,"(137, 91, 194, 110)",0.20891203703703703,3.0,"(165.5, 100.5)",137,91,0.7916666666666666,0.2638888888888889
25,"(2, 11, 59, 30)",0.20891203703703703,3.0,"(30.5, 20.5)",2,11,0.7916666666666666,0.2638888888888889
26,"(54, 373, 127, 388)",0.21122685185185183,4.866666666666666,"(90.5, 380.5)",54,373,1.0138888888888888,0.20833333333333331
27,"(129, 373, 202, 388)",0.21122685185185183,4.866666666666666,"(165.5, 380.5)",129,373,1.0138888888888888,0.20833333333333331
28,"(247, 349, 294, 372)",0.20852623456790123,2.0434782608695654,"(270.5, 360.5)",247,349,0.6527777777777778,0.3194444444444444
29,"(84, 15, 187, 26)",0.21855709876543208,9.363636363636363,"(135.5, 20.5)",84,15,1.4305555555555556,0.15277777777777776
30,"(109, 277, 132, 324)",0.20852623456790123,0.48936170212765956,"(120.5, 300.5)",109,277,0.3194444444444444,0.6527777777777778
